{249, 21, {Pi/15, Pi/3, 2.9767666471336534}}
{250, 20, {Pi/15, (4*Pi)/15, 1.9361269126630811}}
{251, 84, {Pi/3, (8*Pi)/15, 1.917677260891642}}
{252, 70, {(4*Pi)/15, (3*Pi)/5, 3.42763328882011}}
{253, 29, {Pi/15, (13*Pi)/15, 3.119703138210568}}
{254, 28, {Pi/15, (4*Pi)/5, 1.9659241756775254}}
{255, 21, {Pi/15, Pi/3, 1.764243869929502}}
{256, 29, {Pi/15, (13*Pi)/15, 3.276273683540116}}
{257, 27, {Pi/15, (11*Pi)/15, 3.870067388118183}}
{258, 12, {0, (11*Pi)/15, 3.5559324626084927}}
{259, 21, {Pi/15, Pi/3, 2.845494238810234}}
{260, 70, {(4*Pi)/15, (3*Pi)/5, 4.13523048716062}}
