{156, 13, {0, (4*Pi)/5, 3.859413703328437}}
{157, 75, {(4*Pi)/15, (14*Pi)/15, 2.7191326555906743}}
{158, 49, {Pi/5, Pi/5, 1.9584955680310026}}
{159, 87, {Pi/3, (11*Pi)/15, 1.594093733659664}}
{160, 84, {Pi/3, (8*Pi)/15, 3.024761296268363}}
{161, 32, {(2*Pi)/15, Pi/15, 3.7596586740516442}}
{162, 6, {0, Pi/3, 4.128960086137553}}
{163, 59, {Pi/5, (13*Pi)/15, 2.128998240573887}}
{164, 102, {(2*Pi)/5, (11*Pi)/15, 5.523632633278568}}
{165, 43, {(2*Pi)/15, (4*Pi)/5, 2.0806924614774482}}
{166, 89, {Pi/3, (13*Pi)/15, 3.00470409026382}}
{167, 38, {(2*Pi)/15, (7*Pi)/15, 3.2674454405526383}}
{168, 102, {(2*Pi)/5, (11*Pi)/15, 1.9387407757261323}}
{169, 6, {0, Pi/3, 2.3545966453672325}}
{170, 11, {0, (2*Pi)/3, 2.5270110124334115}}
{171, 100, {(2*Pi)/5, (3*Pi)/5, 1.1185627493127652}}
{172, 45, {(2*Pi)/15, (14*Pi)/15, 2.4159367931313724}}
{173, 59, {Pi/5, (13*Pi)/15, 3.191379032065809}}
{174, 69, {(4*Pi)/15, (8*Pi)/15, 3.0567727574502026}}
{175, 55, {Pi/5, (3*Pi)/5, 3.2003970990973953}}
{176, 111, {(7*Pi)/15, Pi/3, 1.9590665596150494}}
{177, 7, {0, (2*Pi)/5, 1.9089292844378114}}
{178, 117, {(7*Pi)/15, (11*Pi)/15, 2.7540878179036796}}
{179, 45, {(2*Pi)/15, (14*Pi)/15, 3.9963121794631546}}
{180, 59, {Pi/5, (13*Pi)/15, 2.5541017651150053}}
{181, 57, {Pi/5, (11*Pi)/15, 3.4185326690963795}}
{182, 86, {Pi/3, (2*Pi)/3, 2.301857889581002}}
{183, 52, {Pi/5, (2*Pi)/5, 2.6370080592940632}}
{184, 83, {Pi/3, (7*Pi)/15, 3.2867983284688935}}
{185, 20, {Pi/15, (4*Pi)/15, 2.600969718537944}}
{186, 48, {Pi/5, (2*Pi)/15, 5.0170496533686855}}
{187, 100, {(2*Pi)/5, (3*Pi)/5, 4.873998229342483}}
{188, 44, {(2*Pi)/15, (13*Pi)/15, 3.0351918380526306}}
{189, 43, {(2*Pi)/15, (4*Pi)/5, 2.6504836851249745}}
{190, 81, {Pi/3, Pi/3, 2.1495819884934626}}
{191, 28, {Pi/15, (4*Pi)/5, 2.407714603174273}}
{192, 45, {(2*Pi)/15, (14*Pi)/15, 2.8457455409684513}}
{193, 39, {(2*Pi)/15, (8*Pi)/15, 1.8775470237016325}}
{194, 58, {Pi/5, (4*Pi)/5, 4.240040356798828}}
{195, 56, {Pi/5, (2*Pi)/3, 1.5622187238270793}}
{196, 23, {Pi/15, (7*Pi)/15, 1.1207077725552053}}
{197, 26, {Pi/15, (2*Pi)/3, 3.89690628824723}}
{198, 34, {(2*Pi)/15, Pi/5, 3.6180928941693375}}
{199, 75, {(4*Pi)/15, (14*Pi)/15, 3.125057680049832}}
{200, 83, {Pi/3, (7*Pi)/15, 3.070507181520823}}
{201, 97, {(2*Pi)/5, (2*Pi)/5, 2.057828847871379}}
{202, 73, {(4*Pi)/15, (4*Pi)/5, 2.5944846791820555}}
{203, 10, {0, (3*Pi)/5, 2.5016368932966815}}
{204, 110, {(7*Pi)/15, (4*Pi)/15, 2.368781156015627}}
{205, 89, {Pi/3, (13*Pi)/15, 4.485900866090545}}
{206, 51, {Pi/5, Pi/3, 2.376495802973117}}
{207, 52, {Pi/5, (2*Pi)/5, 2.294449072855774}}
{208, 19, {Pi/15, Pi/5, 9.101023963067117}}
{209, 74, {(4*Pi)/15, (13*Pi)/15, 1.7502755134745356}}
{210, 14, {0, (13*Pi)/15, 6.015480259014985}}
{211, 86, {Pi/3, (2*Pi)/3, 3.7465547688180605}}
{212, 5, {0, (4*Pi)/15, 2.052845713175696}}
{213, 24, {Pi/15, (8*Pi)/15, 4.604697995606304}}
{214, 98, {(2*Pi)/5, (7*Pi)/15, 2.2227032533974262}}
{215, 54, {Pi/5, (8*Pi)/15, 4.901543954425262}}
{216, 24, {Pi/15, (8*Pi)/15, 3.6355086257492846}}
{217, 72, {(4*Pi)/15, (11*Pi)/15, 3.179175915272068}}
{218, 83, {Pi/3, (7*Pi)/15, 2.539324409233587}}
{219, 23, {Pi/15, (7*Pi)/15, 3.123676551501964}}
{220, 89, {Pi/3, (13*Pi)/15, 1.8733382095853024}}
{221, 81, {Pi/3, Pi/3, 2.9436443008032707}}
{222, 70, {(4*Pi)/15, (3*Pi)/5, 3.138124120904383}}
{223, 80, {Pi/3, (4*Pi)/15, 2.4434747436374247}}
{224, 37, {(2*Pi)/15, (2*Pi)/5, 2.0432711184699057}}
{225, 7, {0, (2*Pi)/5, 3.0600676291967583}}
{226, 10, {0, (3*Pi)/5, 1.848058741533259}}
{227, 51, {Pi/5, Pi/3, 2.4835574295511345}}
{228, 71, {(4*Pi)/15, (2*Pi)/3, 3.021922574536776}}
{229, 87, {Pi/3, (11*Pi)/15, 5.26763132172362}}
{230, 45, {(2*Pi)/15, (14*Pi)/15, 1.8692355036713715}}
{231, 14, {0, (13*Pi)/15, 3.5717115972878726}}
{232, 59, {Pi/5, (13*Pi)/15, 2.2053803854578877}}
{233, 64, {(4*Pi)/15, Pi/5, 1.8685855413999217}}
{234, 98, {(2*Pi)/5, (7*Pi)/15, 4.780998565767351}}
{235, 119, {(7*Pi)/15, (13*Pi)/15, 3.208818195166389}}
{236, 37, {(2*Pi)/15, (2*Pi)/5, 4.704058307821113}}
{237, 8, {0, (7*Pi)/15, 4.218365385404022}}
{238, 30, {Pi/15, (14*Pi)/15, 2.6178737045953113}}
{239, 107, {(7*Pi)/15, Pi/15, 1.6135590351272853}}
{240, 5, {0, (4*Pi)/15, 6.397851040172534}}
{241, 41, {(2*Pi)/15, (2*Pi)/3, 2.4566071364459154}}
{242, 112, {(7*Pi)/15, (2*Pi)/5, 2.373222312204991}}
{243, 103, {(2*Pi)/5, (4*Pi)/5, 2.7568249034427876}}
{244, 12, {0, (11*Pi)/15, 2.3388526433270806}}
{245, 119, {(7*Pi)/15, (13*Pi)/15, 8.977085009646242}}
{246, 67, {(4*Pi)/15, (2*Pi)/5, 2.120958230293964}}
{247, 82, {Pi/3, (2*Pi)/5, 3.455073979357805}}
{248, 37, {(2*Pi)/15, (2*Pi)/5, 2.5997517484357293}}
{249, 97, {(2*Pi)/5, (2*Pi)/5, 2.4510284449010165}}
{250, 104, {(2*Pi)/5, (13*Pi)/15, 2.3693092305713797}}
{251, 64, {(4*Pi)/15, Pi/5, 2.325205184434616}}
{252, 110, {(7*Pi)/15, (4*Pi)/15, 2.169778503323001}}
{253, 98, {(2*Pi)/5, (7*Pi)/15, 2.968723876092044}}
{254, 7, {0, (2*Pi)/5, 3.0419006273644205}}
{255, 38, {(2*Pi)/15, (7*Pi)/15, 7.665432667217139}}
{256, 30, {Pi/15, (14*Pi)/15, 3.6582873116664643}}
{257, 59, {Pi/5, (13*Pi)/15, 2.3748786806283797}}
{258, 45, {(2*Pi)/15, (14*Pi)/15, 1.4781671361848083}}
{259, 71, {(4*Pi)/15, (2*Pi)/3, 4.274409168669857}}
{260, 58, {Pi/5, (4*Pi)/5, 3.5210069790643277}}
{261, 5, {0, (4*Pi)/15, 7.999904778947439}}
{262, 55, {Pi/5, (3*Pi)/5, 3.3954481439667608}}
{263, 113, {(7*Pi)/15, (7*Pi)/15, 7.081599496752314}}
{264, 87, {Pi/3, (11*Pi)/15, 6.257222072436445}}
{265, 99, {(2*Pi)/5, (8*Pi)/15, 2.460268784342521}}
{266, 25, {Pi/15, (3*Pi)/5, 4.922426912251733}}
{267, 51, {Pi/5, Pi/3, 6.757835326614301}}
{268, 50, {Pi/5, (4*Pi)/15, 3.4306978136569444}}
{269, 18, {Pi/15, (2*Pi)/15, 2.060513301820193}}
{270, 98, {(2*Pi)/5, (7*Pi)/15, 3.123322852481774}}
{271, 108, {(7*Pi)/15, (2*Pi)/15, 2.6765363662256036}}
{272, 101, {(2*Pi)/5, (2*Pi)/3, 2.389212981828514}}
{273, 84, {Pi/3, (8*Pi)/15, 6.030743424726548}}
{274, 99, {(2*Pi)/5, (8*Pi)/15, 2.6961790008218642}}
{275, 62, {(4*Pi)/15, Pi/15, 2.6917277975294067}}
{276, 68, {(4*Pi)/15, (7*Pi)/15, 2.2282744045048544}}
{277, 113, {(7*Pi)/15, (7*Pi)/15, 2.29095373511389}}
{278, 11, {0, (2*Pi)/3, 1.9618293241760763}}
{279, 56, {Pi/5, (2*Pi)/3, 4.607370051973661}}
{280, 29, {Pi/15, (13*Pi)/15, 2.894541464153511}}
{281, 69, {(4*Pi)/15, (8*Pi)/15, 3.2515062991419086}}
{282, 37, {(2*Pi)/15, (2*Pi)/5, 4.178272411312047}}
{283, 37, {(2*Pi)/15, (2*Pi)/5, 2.9692369963316714}}
{284, 36, {(2*Pi)/15, Pi/3, 4.923005561752337}}
{285, 100, {(2*Pi)/5, (3*Pi)/5, 3.2259985064977488}}
{286, 57, {Pi/5, (11*Pi)/15, 3.8166832063560276}}
{287, 115, {(7*Pi)/15, (3*Pi)/5, 3.9015075820549}}
{288, 51, {Pi/5, Pi/3, 4.279022316212097}}
{289, 79, {Pi/3, Pi/5, 7.151741474638789}}
{290, 39, {(2*Pi)/15, (8*Pi)/15, 2.1469831673241817}}
{291, 30, {Pi/15, (14*Pi)/15, 9.57012919308626}}
{292, 105, {(2*Pi)/5, (14*Pi)/15, 4.026535130978327}}
{293, 8, {0, (7*Pi)/15, 2.2399195621675814}}
{294, 90, {Pi/3, (14*Pi)/15, 1.2205614939325997}}
{295, 51, {Pi/5, Pi/3, 2.690913419480536}}
{296, 68, {(4*Pi)/15, (7*Pi)/15, 3.73948063819547}}
{297, 88, {Pi/3, (4*Pi)/5, 3.292593663745912}}
{298, 85, {Pi/3, (3*Pi)/5, 2.541835947155743}}
{299, 82, {Pi/3, (2*Pi)/5, 6.358595591117535}}
{300, 115, {(7*Pi)/15, (3*Pi)/5, 3.017213321748637}}
{301, 60, {Pi/5, (14*Pi)/15, 2.513060296682381}}
{302, 12, {0, (11*Pi)/15, 2.898806402434933}}
{303, 89, {Pi/3, (13*Pi)/15, 4.251587676155074}}
{304, 23, {Pi/15, (7*Pi)/15, 2.0680321280137264}}
{305, 83, {Pi/3, (7*Pi)/15, 2.290897354720124}}
{306, 85, {Pi/3, (3*Pi)/5, 2.2390152080893673}}
{307, 21, {Pi/15, Pi/3, 5.117807419917031}}
{308, 111, {(7*Pi)/15, Pi/3, 2.518994864525627}}
{309, 29, {Pi/15, (13*Pi)/15, 2.7857200508497115}}
{310, 94, {(2*Pi)/5, Pi/5, 1.7575372232480746}}
{311, 36, {(2*Pi)/15, Pi/3, 4.375491871348982}}
{312, 38, {(2*Pi)/15, (7*Pi)/15, 2.497683343459984}}
{313, 88, {Pi/3, (4*Pi)/5, 2.1953151571269376}}
{314, 102, {(2*Pi)/5, (11*Pi)/15, 4.433097070420876}}
{315, 100, {(2*Pi)/5, (3*Pi)/5, 1.7783790876113543}}
{316, 28, {Pi/15, (4*Pi)/5, 3.173116808107821}}
{317, 50, {Pi/5, (4*Pi)/15, 2.4691678797214895}}
{318, 67, {(4*Pi)/15, (2*Pi)/5, 2.7727161758314507}}
{319, 58, {Pi/5, (4*Pi)/5, 1.9513560180113114}}
{320, 72, {(4*Pi)/15, (11*Pi)/15, 1.4568664787131234}}
{321, 41, {(2*Pi)/15, (2*Pi)/3, 3.9030302164026565}}
{322, 33, {(2*Pi)/15, (2*Pi)/15, 3.5101277276423795}}
{323, 85, {Pi/3, (3*Pi)/5, 2.0151351949196594}}
{324, 88, {Pi/3, (4*Pi)/5, 1.8464040695521045}}
{325, 44, {(2*Pi)/15, (13*Pi)/15, 1.862184330531633}}
{326, 74, {(4*Pi)/15, (13*Pi)/15, 2.417415422248214}}
{327, 99, {(2*Pi)/5, (8*Pi)/15, 3.9101550763284463}}
{328, 90, {Pi/3, (14*Pi)/15, 5.2178882550615695}}
{329, 82, {Pi/3, (2*Pi)/5, 2.462940303753178}}
{330, 5, {0, (4*Pi)/15, 4.535523527234292}}
{331, 7, {0, (2*Pi)/5, 7.043161910096077}}
{332, 25, {Pi/15, (3*Pi)/5, 1.8242311660728059}}
{333, 24, {Pi/15, (8*Pi)/15, 2.785489717146459}}
{334, 10, {0, (3*Pi)/5, 2.3694812335083277}}
{335, 108, {(7*Pi)/15, (2*Pi)/15, 3.711483466211364}}
{336, 85, {Pi/3, (3*Pi)/5, 2.2933179140850672}}
{337, 3, {0, (2*Pi)/15, 2.2076402892959797}}
{338, 21, {Pi/15, Pi/3, 3.0685572314302254}}
{339, 30, {Pi/15, (14*Pi)/15, 1.892180739014393}}
{340, 120, {(7*Pi)/15, (14*Pi)/15, 5.471248877254187}}
